"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Amulet Titan - Living End - Shardless Cascade - Izzet Prowess,Hardened Scales - Bant Blink - Mill,Amulet Titan - Food - Living End - Shardless Cascade - Mill,Amulet Titan - Living End - Shardless Cascade - Food,Amulet Titan - Living End - Shardless Cascade - Food
"Tiers 1.5",Humans - Yawgmoth - Food - Burn - Stoneblade - Mill - Heliod Combo,Niv To Light - Food - Stoneblade - Azorius Control - Esper Control - Jund Midrange - Amulet Titan - Hammer Time,Stoneblade - Hardened Scales - Bant Blink - Izzet Prowess - Humans - Yawgmoth - Niv To Light - Heliod Combo - Esper Control - Jund Midrange,Izzet Prowess - Mill - Stoneblade - Humans - Yawgmoth - Hardened Scales - Bant Blink - Burn - Niv To Light - Heliod Combo,Izzet Prowess - Mill - Stoneblade - Humans - Yawgmoth - Hardened Scales - Bant Blink - Burn - Niv To Light - Heliod Combo
"Tiers 2",Niv To Light - Esper Control - Jund Midrange - Ad Nauseam - Domain Zoo - Hardened Scales - Bant Blink - Azorius Control - Hammer Time - Enchantress,Living End - Shardless Cascade - Grixis Shadow - Sultai Shadow - Rakdos Midrange - Izzet Prowess - Heliod Combo - Humans - Yawgmoth - Domain Zoo - Ad Nauseam,Burn - Azorius Control - Ad Nauseam - Hammer Time - Domain Zoo,Esper Control - Jund Midrange - Azorius Control - Ad Nauseam - Hammer Time - Domain Zoo,Esper Control - Jund Midrange - Azorius Control - Ad Nauseam - Hammer Time - Domain Zoo
"Tiers 2.5",Grixis Shadow - Sultai Shadow - Rakdos Midrange - Rogues - Taking Turns,Enchantress - Burn - Rogues - Taking Turns,Grixis Shadow - Sultai Shadow - Rakdos Midrange - Enchantress - Rogues - Taking Turns,Grixis Shadow - Sultai Shadow - Rakdos Midrange - Enchantress - Rogues - Taking Turns,Grixis Shadow - Sultai Shadow - Rakdos Midrange - Enchantress - Rogues - Taking Turns
