"","CardNames","DeckCount","Winrate95Min"
"1","Disdainful Stroke",41,74.9
"2","Mystical Dispute",54,74.6
"3","Negate",33,73.3
"4","Cling to Dust",17,72.9
"5","Skyclave Shade",17,72.9
"6","Redcap Melee",44,72.8
"7","Ox of Agonas",42,72.2
"8","The Akroan War",33,71.7
"9","Crippling Fear",15,71.5
"10","Lurrus of the Dream-Den",16,71.3
"11","Soul Sear",30,70.8
"12","Soul-Guide Lantern",12,69.8
"13","Phoenix of Ash",23,69.6
"14","Wilt",16,69.5
"15","Yorion, Sky Nomad",17,69.5
"16","Duress",18,69.5
"17","Scorching Dragonfire",19,69.5
"18","Heartless Act",5,68.3
"19","Saw It Coming",5,68.3
"20","Test of Talents",17,67.9
"21","Elder Gargaroth",16,67.8
"22","Dead Weight",15,67.7
"23","Environmental Sciences",6,67.6
"24","Glass Casket",14,67.6
"25","Vivien, Monsters' Advocate",11,67.3
"26","Polukranos, Unchained",8,67.2
"27","Go Blank",8,67.2
"28","Malevolent Hermit",8,67.2
"29","Shark Typhoon",9,67.2
"30","Elspeth's Nightmare",9,67.2
"31","Fire Prophecy",16,66
"32","Roiling Vortex",16,66
"33","Klothys, God of Destiny",16,64.3
"34","Lullmage's Domination",8,63.6
"35","Esika's Chariot",2,63.1
"36","Chainweb Aracnir",7,63.1
"37","Prismari Command",7,63.1
"38","Mascot Exhibition",7,63.1
"39","Questing Beast",6,62.6
"40","Kaervek, the Spiteful",5,62.1
"41","Necromentia",4,61.7
"42","Soul Shatter",4,61.7
"43","Bloodchief's Thirst",3,61.5
"44","Essence Scatter",3,61.5
"45","Teachings of the Archaics",3,61.5
"46","Shadows' Verdict",8,60
"47","Koma, Cosmos Serpent",7,59
"48","Eliminate",10,58.8
"49","Scavenging Ooze",6,57.8
"50","Legion Angel",6,57.8
