"","SetCode","NoCopies","Winrate"
"1","LEA",4617,0.702
"2","MH2",3732,0.707
"3","ICE",2903,0.705
"4","ZEN",2123,0.7
"5","TMP",2065,0.704
"6","ONS",1773,0.708
"7","LRW",1563,0.696
"8","MH1",1462,0.7
"9","ALL",1358,0.703
"10","USG",1179,0.701
"11","NPH",1036,0.701
"12","NEM",844,0.711
"13","LEB",710,0.704
"14","MRD",649,0.69
"15","STX",619,0.718
"16","ISD",593,0.698
"17","ELD",584,0.711
"18","LEG",581,0.717
"19","DKA",570,0.708
"20","GPT",564,0.704
"21","WAR",564,0.694
"22","ULG",496,0.709
"23","THB",437,0.706
"24","AVR",423,0.681
"25","M20",415,0.708
"26","FUT",415,0.698
"27","CSP",414,0.712
"28","WWK",381,0.707
"29","WTH",343,0.69
"30","DST",341,0.69
"31","MMQ",339,0.707
"32","CMD",291,0.707
"33","CMR",290,0.717
"34","MBS",285,0.69
"35","SOM",261,0.684
"36","ZNR",253,0.7
"37","EXO",247,0.71
"38","DRK",234,0.708
"39","SCG",229,0.661
"40","RAV",228,0.712
"41","M11",224,0.706
"42","STH",212,0.714
"43","CN2",207,0.721
"44","GTC",206,0.716
"45","MIR",201,0.697
"46","ODY",200,0.664
"47","PLC",196,0.684
"48","RTR",184,0.711
"49","SOK",179,0.703
"50","JUD",179,0.699
"51","ALA",175,0.692
"52","ROE",162,0.718
"53","TOR",162,0.689
"54","SHM",161,0.69
"55","VOW",161,0.709
"56","TSP",157,0.71
"57","BNG",157,0.698
"58","EVE",157,0.709
"59","GRN",142,0.683
"60","CON",140,0.69
"61","MID",140,0.712
"62","CHK",136,0.668
"63","M19",134,0.693
"64","HOU",131,0.702
"65","VIS",131,0.673
"66","IKO",122,0.709
"67","JMP",118,0.673
"68","AER",111,0.707
"69","ORI",101,0.677
"70","5DN",99,0.708
"71","MOR",98,0.669
"72","NEO",96,0.659
"73","PC2",81,0.685
"74","C18",75,0.707
"75","DIS",70,0.699
"76","CNS",70,0.725
"77","M15",64,0.687
"78","M13",60,0.709
"79","M10",56,0.71
"80","FRF",56,0.686
"81","AFR",55,0.67
"82","C13",51,0.64
"83","POR",50,0.726
"84","M14",48,0.746
"85","BOK",47,0.696
"86","C19",45,0.71
"87","M21",43,0.691
"88","OGW",43,0.685
"89","ATQ",37,0.719
"90","PLS",36,0.699
"91","KLD",31,0.703
"92","P02",30,0.673
"93","DOM",29,0.639
"94","APC",26,0.707
"95","NEC",25,0.717
"96","BBD",24,0.662
"97","C20",24,0.651
"98","XLN",23,0.728
"99","C15",22,0.679
"100","KHM",19,0.648
"101","UDS",19,0.746
"102","C21",18,0.733
"103","BFZ",17,0.674
"104","EMN",17,0.7
"105","JOU",16,0.625
"106","FEM",13,0.7
"107","AKH",13,0.656
"108","RNA",12,0.694
"109","ARN",9,0.625
"110","THS",9,0.643
"111","SOI",9,0.65
"112","INV",8,0.733
"113","PTK",8,0.714
"114","LGN",6,0.659
"115","RIX",6,0.688
"116","C16",5,0.7
"117","DTK",4,0.75
"118","KTK",4,0.667
"119","HML",4,0.714
"120","M12",3,0.571
"121","S99",1,0.75
