"","SetCode","NoCopies","Winrate"
"1","LEA",2369,0.733
"2","MID",1999,0.729
"3","NEO",1928,0.733
"4","ELD",1645,0.731
"5","KHM",1498,0.733
"6","AFR",1443,0.733
"7","WAR",1096,0.745
"8","SNC",1039,0.725
"9","VOW",1039,0.723
"10","ZNR",1013,0.726
"11","KLD",836,0.722
"12","AER",824,0.727
"13","M20",815,0.738
"14","RTR",777,0.732
"15","DIS",738,0.735
"16","THS",667,0.742
"17","THB",656,0.745
"18","IKO",631,0.751
"19","LRW",610,0.727
"20","DMU",586,0.738
"21","SOI",534,0.712
"22","DTK",498,0.729
"23","KTK",453,0.734
"24","OGW",433,0.731
"25","AKH",421,0.738
"26","RAV",419,0.728
"27","GPT",418,0.731
"28","ICE",392,0.726
"29","M14",372,0.734
"30","DOM",364,0.735
"31","STX",363,0.738
"32","ISD",359,0.727
"33","M21",328,0.721
"34","EMN",316,0.711
"35","HOU",290,0.729
"36","M19",269,0.733
"37","GRN",259,0.732
"38","XLN",226,0.719
"39","USG",219,0.722
"40","ZEN",212,0.712
"41","INV",207,0.744
"42","ORI",194,0.698
"43","MOR",170,0.688
"44","RIX",153,0.745
"45","GTC",141,0.726
"46","M10",132,0.777
"47","RNA",132,0.738
"48","BNG",126,0.716
"49","DKA",116,0.668
"50","PLC",109,0.736
"51","APC",92,0.733
"52","FRF",85,0.729
"53","TSP",79,0.736
"54","DGM",67,0.753
"55","JOU",65,0.763
"56","MRD",42,0.726
"57","PTK",41,0.753
"58","VIS",39,0.729
"59","BFZ",34,0.698
"60","DST",21,0.735
"61","CMD",12,0.667
"62","M13",10,0.727
"63","ATQ",8,0.833
"64","ONS",8,0.714
"65","SCG",2,0.714
"66","STH",2,0.75
