"","CardNames","DeckCount","WinrateAverage"
"1","Redcap Melee",989,62.6
"2","Mystical Dispute",972,63
"3","Ox of Agonas",888,63
"4","Negate",740,63
"5","The Akroan War",675,61.7
"6","Disdainful Stroke",649,61.8
"7","Duress",560,62.3
"8","Test of Talents",529,61.9
"9","Klothys, God of Destiny",490,63
"10","Phoenix of Ash",447,63.3
"11","Yorion, Sky Nomad",440,62.9
"12","Burning Hands",416,61.6
"13","Soul Sear",393,63.7
"14","Cling to Dust",354,63.4
"15","Wilt",337,63.9
"16","Roiling Vortex",323,63.1
"17","Scorching Dragonfire",305,62.6
"18","Skyclave Shade",299,61.7
"19","Lurrus of the Dream-Den",290,63
"20","Fire Prophecy",288,62.4
"21","Glass Casket",287,64.6
"22","Elder Gargaroth",261,63.3
"23","Koma, Cosmos Serpent",258,62
"24","Kaervek, the Spiteful",255,61.7
"25","Elspeth's Nightmare",249,61.6
"26","Shredded Sails",242,64.2
"27","Eliminate",232,62.2
"28","Reidane, God of the Worthy",229,63.9
"29","Soul-Guide Lantern",210,62.6
"30","Vivien, Monsters' Advocate",210,63.8
"31","Drannith Magistrate",210,63.3
"32","Mazemind Tome",205,61.9
"33","Shadowspear",186,63.4
"34","Cinderclasm",185,60.2
"35","Scavenging Ooze",180,63.5
"36","Chainweb Aracnir",166,63
"37","Snakeskin Veil",157,63.5
"38","Shark Typhoon",154,62
"39","Crippling Fear",153,62.9
"40","Environmental Sciences",148,62.5
"41","Jegantha, the Wellspring",144,63.4
"42","Malevolent Hermit",144,62
"43","Mascot Exhibition",140,62.8
"44","Shadows' Verdict",132,62.1
"45","Extinction Event",126,62.3
"46","Bloodchief's Thirst",119,61.9
"47","Garruk, Unleashed",114,63.1
"48","Toski, Bearer of Secrets",111,63.8
"49","Prismari Command",111,63.9
"50","Questing Beast",106,63.3
