"","CardNames","DeckCount","Winrate95Min"
"1","Usher of the Fallen",110,63.3
"2","Giant Killer",272,63
"3","Snow-Covered Plains",163,62.9
"4","Maul of the Skyclaves",135,62.8
"5","Luminarch Aspirant",175,62.8
"6","Shepherd of the Flock",70,62.5
"7","Adeline, Resplendent Cathar",49,62.4
"8","Reidane, God of the Worthy",157,62.2
"9","Showdown of the Skalds",182,62.2
"10","Forest",1224,62.1
"11","Fire Prophecy",263,62
"12","Edgewall Innkeeper",619,62
"13","Lovestruck Beast",739,62
"14","Sejiri Shelter",54,61.9
"15","Negate",397,61.9
"16","Cragcrown Pathway",776,61.9
"17","Mountain",1152,61.9
"18","Fabled Passage",1497,61.9
"19","Fateful Absence",54,61.8
"20","Needleverge Pathway",479,61.8
"21","Barkchannel Pathway",651,61.8
"22","Island",1119,61.8
"23","Vantress Gargoyle",2,61.7
"24","Plains",461,61.7
"25","Ketria Triome",505,61.7
"26","Bonecrusher Giant",1132,61.7
"27","Yorion, Sky Nomad",73,61.6
"28","Skyclave Apparition",179,61.6
"29","Kazandu Mammoth",452,61.6
"30","Faceless Haven",594,61.6
"31","Castle Ardenvale",44,61.5
"32","Seasoned Hallowblade",99,61.5
"33","Tangled Florahedron",226,61.5
"34","Esika's Chariot",538,61.5
"35","Shatterskull Smashing",807,61.5
"36","Riverglide Pathway",729,61.4
"37","The Great Henge",342,61.3
"38","Brightclimb Pathway",151,61.2
"39","Omen of the Sea",425,61.2
"40","Goldspan Dragon",497,61.2
"41","Swamp",861,61.2
"42","Heartless Act",771,61.2
"43","Clearwater Pathway",749,61.2
"44","Sungold Sentinel",33,61.1
"45","Briarbridge Tracker",82,61.1
"46","Raugrin Triome",221,61.1
"47","Hengegate Pathway",251,61.1
"48","Binding the Old Gods",366,61.1
"49","Intrepid Adversary",54,61
"50","Koma, Cosmos Serpent",135,61
