"","Artist","NoCopies","Winrate"
"1","Christopher Rush",8298,0.635
"2","Kieran Yanner",6786,0.626
"3","Victor Adame Minguez",6487,0.627
"4","Howard Lyon",5764,0.627
"5","Daarken",5509,0.625
"6","Lie Setiawan",5032,0.627
"7","Titus Lunter",4575,0.631
"8","Johannes Voss",4440,0.622
"9","Chris Rallis",4326,0.628
"10","Tom Wänerstrand",4110,0.619
"11","Mark Poole",4102,0.63
"12","Piotr Dura",4076,0.632
"13","Jason Rainville",4024,0.63
"14","Ryan Pancoast",3995,0.628
"15","Adam Paquette",3938,0.63
"16","Matt Stewart",3838,0.633
"17","Svetlin Velinov",3835,0.625
"18","Steven Belledin",3759,0.626
"19","Douglas Shuler",3567,0.628
"20","Randy Vargas",3335,0.629
"21","Raoul Vitale",3190,0.628
"22","Ekaterina Burmak",3188,0.628
"23","Andreas Rocha",3063,0.632
"24","Kev Walker",3005,0.635
"25","Campbell White",2996,0.624
"26","Dan Frazier",2992,0.625
"27","Daniel Ljunggren",2844,0.632
"28","Eric Deschamps",2758,0.628
"29","Pat Morrissey",2688,0.625
"30","Caio Monteiro",2672,0.625
"31","Anastasia Ovchinnikova",2620,0.638
"32","Jesper Ejsing",2431,0.637
"33","Grzegorz Rutkowski",2346,0.631
"34","Jonas De Ro",2232,0.632
"35","Eytan Zana",2082,0.624
"36","Jeremy Jarvis",2056,0.632
"37","Nicholas Gregory",2044,0.63
"38","Sam Burley",1905,0.63
"39","Andrew Mar",1819,0.627
"40","Magali Villeneuve",1813,0.63
"41","Chris Rahn",1770,0.634
"42","Cliff Childs",1762,0.626
"43","Simon Dominic",1751,0.628
"44","Lawrence Snelly",1732,0.623
"45","Joe Slucher",1681,0.624
"46","Lius Lasahido",1585,0.628
"47","Jakub Kasper",1510,0.636
"48","Raymond Swanland",1482,0.622
"49","Yeong-Hao Han",1384,0.638
"50","Zoltan Boros",1362,0.64
"51","Jesper Myrfors",1282,0.634
"52","Filip Burburan",1279,0.623
"53","Zack Stella",1256,0.627
"54","Anthony Palumbo",1254,0.624
"55","Randy Gallegos",1214,0.619
"56","Suzanne Helmigh",1210,0.624
"57","Olena Richards",1192,0.618
"58","Slawomir Maniak",1158,0.625
"59","Chris Cold",1138,0.626
"60","John Stanko",1121,0.631
"61","Manuel Castañón",1092,0.636
"62","Mathias Kollros",1080,0.637
"63","Yongjae Choi",1048,0.624
"64","Karl Kopinski",1010,0.638
"65","Ravenna Tran",989,0.624
"66","Paul Scott Canavan",959,0.634
"67","Donato Giancola",907,0.649
"68","Steve Argyle",907,0.63
"69","James Paick",906,0.625
"70","Igor Kieryluk",879,0.63
"71","Dmitry Burmak",859,0.621
"72","Ralph Horsley",821,0.624
"73","Ilse Gort",790,0.637
"74","Izzy",777,0.615
"75","Anson Maddocks",775,0.602
"76","Volkan Baǵa",765,0.641
"77","Evyn Fong",751,0.619
"78","Bram Sels",724,0.634
"79","Eric Velhagen",724,0.626
"80","Denman Rooke",721,0.635
"81","Mads Ahm",698,0.655
"82","Austin Hsu",695,0.626
"83","Colin Boyer",680,0.619
"84","Cristi Balanescu",671,0.63
"85","Iain McCaig",651,0.627
"86","Vincent Proce",637,0.632
"87","Tomasz Jedruszek",632,0.633
"88","John Thacker",614,0.626
"89","Bud Cook",601,0.627
"90","Miranda Meeks",586,0.634
"91","Heonhwa Choe",564,0.634
"92","PINDURSKI",559,0.647
"93","Nestor Ossandon Leal",488,0.622
"94","Wisnu Tan",469,0.636
"95","Dimitar Marinski",461,0.619
"96","Liiga Smilshkalne",461,0.626
"97","Sam Rowan",459,0.634
"98","Jokubas Uogintas",443,0.626
"99","Lake Hurwitz",424,0.624
"100","Wylie Beckert",398,0.611
"101","Joseph Meehan",392,0.653
"102","Seb McKinnon",386,0.614
"103","Chippy",374,0.605
"104","Zezhou Chen",371,0.62
"105","Jason A. Engle",343,0.625
"106","Ryan Yee",342,0.649
"107","Noah Bradley",342,0.627
"108","Johan Grenier",328,0.632
"109","Bryan Sola",318,0.654
"110","Jaime Jones",314,0.624
"111","Lindsey Look",310,0.631
"112","Rovina Cai",300,0.618
"113","Jon Foster",295,0.617
"114","Alexander Forssberg",256,0.631
"115","Chris Seaman",224,0.615
"116","Brian Valeza",221,0.63
"117","Scott Murphy",220,0.631
"118","Tyler Jacobson",205,0.623
"119","Drew Baker",204,0.667
"120","Johann Bodin",200,0.629
"121","Alayna Danner",198,0.617
"122","Viktor Titov",196,0.657
"123","Sidharth Chaturvedi",190,0.612
"124","Anna Steinbauer",188,0.624
"125","Greg Staples",178,0.621
"126","Andrey Kuzinskiy",177,0.619
"127","Darek Zabrocki",171,0.667
"128","Bayard Wu",164,0.62
"129","Mike Bierek",163,0.648
"130","Marco Teixeira",152,0.655
"131","Lucas Graciano",150,0.637
"132","Muhammad Firdaus",135,0.633
"133","Forrest Imel",133,0.562
"134","Mila Pesic",133,0.611
"135","Naomi Baker",121,0.61
"136","Marta Nael",120,0.667
"137","Jason Felix",113,0.61
"138","Brent Hollowell",113,0.642
"139","Dave Kendall",107,0.59
"140","Yigit Koroglu",100,0.595
"141","Gabor Szikszai",99,0.613
"142","Chase Stone",91,0.592
"143","Willian Murai",86,0.618
"144","Irina Nordsol",85,0.63
"145","Justine Cruz",81,0.615
"146","Denis Nigmatullin",73,0.66
"147","Joshua Raphael",73,0.634
"148","John Avon",69,0.643
"149","Livia Prima",66,0.646
"150","Craig J Spearing",65,0.665
"151","Lorenzo Mastroianni",63,0.599
"152","John Howe",60,0.596
"153","Josh Hass",58,0.573
"154","Martina Fackova",57,0.582
"155","Zhang Jiazhen",57,0.557
"156","G-host Lee",54,0.605
"157","Nils Hamm",54,0.586
"158","Iris Compiet",52,0.648
"159","Micah Epstein",47,0.653
"160","Dan Scott",47,0.585
"161","Bastien L. Deharme",42,0.59
"162","Greg Simanson",41,0.587
"163","Aaron Miller",37,0.634
"164","Nicholas Elias",36,0.655
"165","Clint Cearley",36,0.659
"166","David Rapoza",34,0.62
"167","Uriah Voth",33,0.639
"168","Tuan Duong Chu",32,0.642
"169","Lucas Staniec",31,0.618
"170","Kekai Kotaki",31,0.619
"171","Andreas Zafiratos",29,0.57
"172","Winona Nelson",27,0.619
"173","Robbie Trevino",26,0.581
"174","Caroline Gariba",23,0.575
"175","Richard Kane Ferguson",22,0.611
"176","Jason Kang",22,0.634
"177","Lars Grant-West",20,0.606
"178","Mike Jordana",18,0.636
"179","Pauline Voss",16,0.615
"180","Alex Konstad",15,0.634
"181","Jason Chan",12,0.625
"182","Mauricio Calle",10,0.63
"183","Alexander Mokhov",10,0.579
"184","Wayne Reynolds",10,0.6
"185","Anna Fehr",8,0.667
"186","Billy Christian",8,0.5
"187","April Prime",7,0.682
"188","Wei Wei",7,0.68
"189","Véronique Meignaud",6,0.583
"190","Jarel Threat",4,0.5
"191","Sarah Finnigan",4,0.5
"192","Dermot Power",3,0.688
"193","Wesley Burt",3,0.667
"194","YW Tang",3,0.5
"195","Milivoj Ćeran",3,0.5
"196","Sam White",2,0.714
"197","Mark Behm",1,0.75
"198","Martina Pilcerova",1,0.714
