"","CardNames","DeckCount","Winrate95Min"
"1","Robber of the Rich",28,64
"2","Curse of Silence",15,62.7
"3","Glass Casket",287,62.5
"4","Inscription of Abundance",78,62.3
"5","Skyclave Apparition",78,62.1
"6","Wilt",337,62
"7","Eat to Extinction",23,61.9
"8","Shredded Sails",242,61.9
"9","Soul Sear",393,61.9
"10","Mystical Dispute",972,61.9
"11","Obosh, the Preypiercer",75,61.7
"12","Ox of Agonas",888,61.7
"13","Negate",740,61.7
"14","Phoenix of Ash",447,61.6
"15","Agonizing Remorse",102,61.5
"16","Cling to Dust",354,61.5
"17","Redcap Melee",989,61.5
"18","Polukranos, Unchained",102,61.4
"19","Reidane, God of the Worthy",229,61.4
"20","Klothys, God of Destiny",490,61.4
"21","Vivien, Monsters' Advocate",210,61.3
"22","Tormod's Crypt",30,61.2
"23","Brutal Cathar",37,61.2
"24","Legion Angel",79,61.2
"25","Giant Killer",82,61.2
"26","Yorion, Sky Nomad",440,61.2
"27","Wrenn and Seven",40,61.1
"28","Roiling Vortex",323,61.1
"29","Disenchant",33,61
"30","Portable Hole",94,61
"31","Elder Gargaroth",261,61
"32","Glorious Protector",21,60.9
"33","Elite Spellbinder",63,60.9
"34","Ugin, the Spirit Dragon",75,60.9
"35","Lurrus of the Dream-Den",290,60.9
"36","Stern Dismissal",19,60.7
"37","Scavenging Ooze",180,60.7
"38","Drannith Magistrate",210,60.7
"39","Duress",560,60.7
"40","Thieving Skydiver",3,60.6
"41","Primal Might",43,60.6
"42","Snakeskin Veil",157,60.6
"43","Shadowspear",186,60.6
"44","Fateful Absence",54,60.5
"45","Scorching Dragonfire",305,60.5
"46","Paladin Class",23,60.4
"47","Treacherous Blessing",34,60.4
"48","Archon of Absolution",61,60.4
"49","Prismari Command",111,60.4
"50","Disdainful Stroke",649,60.4
