"CardName","Types","AvgMdCount","AvgSbCount","AlwaysMDPresent","AlwaysSBPresent"
"Aether Gust","Instant",0.65,2.04,FALSE,TRUE
"Ashiok, Dream Render","Planeswalker",0,1.12,FALSE,FALSE
"Celestial Purge","Instant",0,2.02,FALSE,FALSE
"Cleansing Wildfire","Sorcery",0,1.85,FALSE,FALSE
"Engineered Explosives","Artifact",0,0.42,FALSE,FALSE
"Mystical Dispute","Instant",0.02,1.25,FALSE,FALSE
"Soul-Guide Lantern","Artifact",0,0.83,FALSE,FALSE
"Supreme Verdict","Sorcery",0.1,0.98,FALSE,FALSE
"Timely Reinforcements","Sorcery",0,0.67,FALSE,FALSE
"Veil of Summer","Instant",0,1.83,FALSE,TRUE
"Containment Priest","Creature",0,0.15,FALSE,FALSE
"Force of Negation","Instant",2.21,0.04,FALSE,FALSE
"Dovin's Veto","Instant",0,0.27,FALSE,FALSE
"Firespout","Sorcery",0,0.5,FALSE,FALSE
"Condemn","Instant",0,0.13,FALSE,FALSE
"Stony Silence","Enchantment",0,0.12,FALSE,FALSE
"Nature's Claim","Instant",0,0.12,FALSE,FALSE
"Lightning Helix","Instant",0,0.06,FALSE,FALSE
"Nexus of Fate","Instant",0,0.04,FALSE,FALSE
"Gaea's Blessing","Sorcery",0,0.12,FALSE,FALSE
"Pithing Needle","Artifact",0,0.08,FALSE,FALSE
"Oust","Sorcery",0,0.02,FALSE,FALSE
"Kozilek, Butcher of Truth","Creature",0,0.04,FALSE,FALSE
"Surgical Extraction","Instant",0,0.08,FALSE,FALSE
"Lightning Bolt","Instant",1.29,0.02,FALSE,FALSE
"Tale's End","Instant",0.04,0.04,FALSE,FALSE
"Wilt","Instant",0,0.04,FALSE,FALSE
"Path to Exile","Instant",3.87,0.02,TRUE,FALSE
"Negate","Instant",0,0.04,FALSE,FALSE
"Spell Pierce","Instant",0,0.04,FALSE,FALSE
"Deicide","Instant",0,0.02,FALSE,FALSE
"Fact or Fiction","Instant",0,0.04,FALSE,FALSE
"Teferi, Hero of Dominaria","Planeswalker",1.21,0,TRUE,FALSE
"Teferi, Time Raveler","Planeswalker",2.04,0,TRUE,FALSE
"Wrenn and Six","Planeswalker",2.96,0,TRUE,FALSE
"Omnath, Locus of Creation","Creature",2.46,0,TRUE,FALSE
"Uro, Titan of Nature's Wrath","Creature",3.81,0,TRUE,FALSE
"Hour of Promise","Sorcery",1.37,0,FALSE,FALSE
"Cryptic Command","Instant",2.88,0,TRUE,FALSE
"Growth Spiral","Instant",2.52,0,TRUE,FALSE
"Mana Leak","Instant",2.85,0,TRUE,FALSE
"Breeding Pool","Land",1.02,0,TRUE,FALSE
"Field of Ruin","Land",1.56,0,FALSE,FALSE
"Field of the Dead","Land",1.98,0,FALSE,FALSE
"Flooded Strand","Land",3.96,0,TRUE,FALSE
"Forest","Land",0.94,0,FALSE,FALSE
"Hallowed Fountain","Land",1,0,TRUE,FALSE
"Island","Land",1,0,FALSE,FALSE
"Ketria Triome","Land",1,0,TRUE,FALSE
"Misty Rainforest","Land",3.96,0,TRUE,FALSE
"Mystic Sanctuary","Land",2,0,TRUE,FALSE
"Plains","Land",0.44,0,FALSE,FALSE
"Raugrin Triome","Land",1,0,TRUE,FALSE
"Scalding Tarn","Land",3.29,0,TRUE,FALSE
"Snow-Covered Forest","Land",0.98,0,FALSE,FALSE
"Snow-Covered Island","Land",1,0,TRUE,FALSE
"Steam Vents","Land",1.02,0,TRUE,FALSE
"Stomping Ground","Land",0.9,0,FALSE,FALSE
"Temple Garden","Land",1,0,TRUE,FALSE
"Snow-Covered Plains","Land",0.56,0,FALSE,FALSE
"Jace, the Mind Sculptor","Planeswalker",0.52,0,FALSE,FALSE
"Time Warp","Sorcery",0.19,0,FALSE,FALSE
"Life from the Loam","Sorcery",0.04,0,FALSE,FALSE
"Castle Vantress","Land",0.04,0,FALSE,FALSE
"Primeval Titan","Creature",0.02,0,FALSE,FALSE
"Lonely Sandbar","Land",0.02,0,FALSE,FALSE
"Mountain","Land",0.02,0,FALSE,FALSE
"Oboro, Palace in the Clouds","Land",0.02,0,FALSE,FALSE
"Sea Gate Restoration","Sorcery",0.02,0,FALSE,FALSE
"Spell Snare","Instant",0.02,0,FALSE,FALSE
"Snow-Covered Mountain","Land",0.06,0,FALSE,FALSE
"Ghost Quarter","Land",0.02,0,FALSE,FALSE
"Remand","Instant",0.06,0,FALSE,FALSE
"Blast Zone","Land",0.02,0,FALSE,FALSE
"Farseek","Sorcery",0.04,0,FALSE,FALSE
"Wooded Foothills","Land",0.02,0,FALSE,FALSE
