"","ARCHETYPES","WINRATE_AVERAGE"
"1","Scapeshift",87.5
"2","Boros Prowess",80
"3","Jeskai Ascendancy",80
"4","Niv To Light",77.8
"5","Simic Control",77.8
"6","Jund Shadow",77.8
"7","Dimir Control",76.2
"8","Devoted",75
"9","Humans",75
"10","Grinding Breach",75
"11","Golos Tron",75
"12","Snoop Goblins",74.3
"13","KGC Amulet Titan",73.8
"14","Spirits",73.5
"15","KGC Tron",73.2
"16","Primeval Titan",73.2
"17","Gruul Midrange",73.1
"18","Gifts Storm",72.2
"19","WURG Control",71.7
"20","Enduring Ideal",71.4
"21","Obosh Aggro",71.2
"22","Burn",71.1
"23","Sultai Control",71
"24","Bant Control",70.8
"25","Temur Control",70.6
"26","Ad Nauseam",70.4
"27","U Tron",70.4
"28","Belcher",70.1
"29","Shadow Prowess",69.9
"30","Hammer Time",69.8
"31","Izzet Prowess",69.6
"32","Mill",69.4
"33","Mono White Taxes",69.3
"34","Izzet Restore Balance",69.2
"35","Bant Spirits",69.2
"36","Grixis Shadow",69.2
"37","Reclaimer Titan",69.1
"38","Jeskai Control",69
"39","Naya Midrange",68.8
"40","Izzet Control",68.7
"41","Amulet Titan",68.5
"42","Izzet Living End",68.3
"43","Jund Midrange",68.3
"44","E Tron",67.4
"45","Infect",67.4
"46","Oops All Spells",66.9
"47","Heliod Combo",66.9
"48","Bant Blink",66.7
"49","Rogues",66.7
"50","Hardened Scales",66.7
"51","Uroza",66.7
"52","Mardu Midrange",66.7
"53","Yawgmoth",66.7
"54","Orzhov Midrange",66.7
"55","Dredge",66.4
"56","Rakdos Midrange",65.9
"57","Azorius Control",65.9
"58","Omnath Saheeli",64.3
"59","UBRG Control",63
"60","Bant Midrange",62.5
"61","Thopter Urza",62.5
"62","Boros Taxes",62.5
"63","Boros Land Destruction",62.5
"64","Erayo Prison",62.5
"65","Grishoalbrand",62.5
"66","Kiki Chord",60
"67","Polymorph",60
"68","Jeskai Breach",60
"69","Delver",60
"70","Elementals",60
"71","Dice Factory Tron",60
"72","Red Prison",60
"73","Azorius Taxes",58.3
"74","Merfolk",57.1
"75","Taking Turns",57.1
