"CardName","CardCount"
"Aether Gust",2
"Celestial Purge",2
"Cleansing Wildfire",2
"Veil of Summer",2
"Mystical Dispute",1
"Ashiok, Dream Render",1
"Supreme Verdict",1
"Soul-Guide Lantern",1
"Timely Reinforcements",1
"Total",13
