"","CardNames","Presence","WINRATE_AVERAGE"
"1","Lightning Bolt",43.7,70.1
"2","Forest",42,70
"3","Plains",38.7,69.2
"4","Mountain",37.5,69.4
"5","Path to Exile",36.3,69.5
"6","Island",35.1,70
"7","Veil of Summer",34.1,69.9
"8","Aether Gust",28.8,70.1
"9","Misty Rainforest",28.8,70.2
"10","Snow-Covered Forest",27.3,70.2
"11","Thoughtseize",26.1,68.8
"12","Mystical Dispute",26,70.8
"13","Engineered Explosives",25.1,70
"14","Swamp",25,68.8
"15","Fatal Push",24.8,68.9
"16","Blood Moon",24.5,69.4
"17","Field of the Dead",24.5,70.6
"18","Temple Garden",23.3,69.3
"19","Breeding Pool",22.9,70.4
"20","Snow-Covered Island",22.6,70.9
"21","Cryptic Command",22.4,70.6
"22","Scalding Tarn",22.4,70.7
"23","Soul-Guide Lantern",22.1,70.9
"24","Force of Negation",21.8,70.5
"25","Wooded Foothills",21.5,68.4
"26","Uro, Titan of Nature's Wrath",21.2,70.7
"27","Mystic Sanctuary",21.1,70.5
"28","Field of Ruin",21,70.3
"29","Flooded Strand",20.8,70.4
"30","Polluted Delta",20.7,70
"31","Snow-Covered Plains",20.7,69.4
"32","Bloodstained Mire",20.5,69
"33","Dismember",20.5,70.1
"34","Relic of Progenitus",20.3,69.5
"35","Windswept Heath",20.2,68.1
"36","Steam Vents",19.8,70.6
"37","Monastery Swiftspear",19,70.4
"38","Blast Zone",18.9,70.5
"39","Celestial Purge",18.9,69.8
"40","Pithing Needle",18.7,68.4
"41","Stomping Ground",18.5,70.2
"42","Blood Crypt",18.3,68.6
"43","Boil",18,68.8
"44","Lurrus of the Dream-Den",18,69.9
"45","Skyclave Apparition",17.4,68
"46","Mana Leak",17.3,70.7
"47","Mishra's Bauble",16.4,69.9
"48","Wrenn and Six",16,70.5
"49","Abrade",14.8,69.2
"50","Sunbaked Canyon",14.6,71
