"","SetCode","NoCopies","Winrate"
"1","MH2",1992,0.731
"2","LEA",1979,0.724
"3","ICE",1342,0.72
"4","ZEN",996,0.722
"5","TMP",936,0.718
"6","ONS",846,0.73
"7","MH1",801,0.719
"8","LRW",710,0.714
"9","ALL",635,0.72
"10","NPH",519,0.724
"11","USG",502,0.716
"12","NEM",389,0.728
"13","LEB",324,0.723
"14","STX",311,0.724
"15","MRD",278,0.71
"16","LEG",274,0.741
"17","GPT",254,0.732
"18","WAR",248,0.714
"19","FUT",243,0.715
"20","DKA",228,0.748
"21","M20",219,0.719
"22","ELD",219,0.734
"23","ISD",211,0.726
"24","ULG",211,0.737
"25","THB",210,0.729
"26","WWK",163,0.738
"27","AVR",162,0.705
"28","WTH",161,0.74
"29","MBS",155,0.725
"30","CSP",151,0.715
"31","GTC",138,0.722
"32","CMD",133,0.716
"33","SOM",126,0.71
"34","CMR",122,0.714
"35","RAV",121,0.756
"36","MIR",121,0.73
"37","TOR",117,0.759
"38","MMQ",113,0.747
"39","STH",113,0.728
"40","SCG",106,0.699
"41","ALA",103,0.726
"42","SOK",102,0.735
"43","ZNR",95,0.742
"44","SHM",94,0.705
"45","CON",90,0.718
"46","ODY",90,0.726
"47","DST",88,0.731
"48","TSP",85,0.753
"49","EXO",85,0.718
"50","ROE",84,0.738
"51","M11",83,0.75
"52","JUD",82,0.719
"53","RTR",82,0.746
"54","DRK",75,0.744
"55","HOU",69,0.74
"56","CHK",67,0.669
"57","MID",65,0.739
"58","VOW",65,0.724
"59","VIS",61,0.698
"60","CN2",58,0.78
"61","M19",58,0.722
"62","5DN",55,0.702
"63","C18",54,0.738
"64","ORI",54,0.698
"65","JMP",53,0.697
"66","IKO",51,0.746
"67","GRN",51,0.698
"68","PLC",51,0.667
"69","MOR",48,0.689
"70","AER",46,0.719
"71","DIS",44,0.732
"72","EVE",41,0.795
"73","POR",41,0.718
"74","BNG",39,0.747
"75","AFR",38,0.678
"76","C19",31,0.783
"77","M10",28,0.806
"78","PLS",27,0.699
"79","PC2",25,0.707
"80","C13",19,0.703
"81","FRF",17,0.733
"82","OGW",17,0.691
"83","EMN",17,0.75
"84","CNS",14,0.812
"85","BOK",13,0.795
"86","BBD",13,0.691
"87","DOM",12,0.658
"88","M13",12,0.667
"89","M21",11,0.729
"90","KLD",10,0.692
"91","M15",9,0.754
"92","KHM",9,0.667
"93","UDS",9,0.731
"94","INV",8,0.733
"95","M14",7,0.75
"96","PTK",7,0.733
"97","ATQ",7,0.727
"98","XLN",6,0.826
"99","BFZ",6,0.788
"100","RNA",4,0.833
"101","APC",4,0.769
"102","SOI",4,0.714
"103","AKH",4,0.727
"104","DTK",4,0.571
"105","THS",3,0.81
"106","ARN",3,1
"107","JOU",3,1
"108","FEM",3,0.571
"109","C21",2,0.824
"110","KTK",1,1
"111","C16",1,0.714
"112","C20",1,0.75
