"","CardNames","DeckCount","WinrateAverage"
"1","Ashen Rider",1,100
"2","Golgari Grave-Troll",1,100
"3","Golgari Thug",1,100
"4","Hogaak, Arisen Necropolis",1,100
"5","Ichorid",1,100
"6","Stinkweed Imp",1,100
"7","Breakthrough",1,100
"8","Careful Study",1,100
"9","Cephalid Coliseum",1,100
"10","City of Brass",1,100
"11","Gemstone Mine",1,100
"12","Mana Confluence",1,100
"13","Aeve, Progenitor Ooze",1,100
"14","Changeling Outcast",1,100
"15","Ingenious Infiltrator",1,100
"16","Ornithopter",1,100
"17","Yuriko, the Tiger's Shadow",1,100
"18","Fatal Push",1,100
"19","Murderous Cut",1,100
"20","Temple Garden",1,100
"21","Angel of the Ruins",1,90
"22","Prophetic Prism",1,90
"23","Phyrexian Tower",1,90
"24","End the Festivities",1,87.5
"25","Ox of Agonas",6,86.2
"26","Sanctum Prelate",5,85
"27","Cathar Commando",6,84.1
"28","Omnath, Locus of Creation",2,83.3
"29","Growth Spiral",2,83.3
"30","Ketria Triome",2,83.3
"31","Flickerwisp",7,82.7
"32","Field of Ruin",3,82.6
"33","Putrid Imp",8,82.5
"34","Snuff Out",2,81.8
"35","Infernal Tutor",2,81.8
"36","Past in Flames",2,81.8
"37","Timeless Dragon",8,81.4
"38","Spirit of the Labyrinth",8,81.4
"39","Kaldra Compleat",8,81.4
"40","Solitude",9,81.2
"41","Vesuva",7,81.1
"42","Recruiter of the Guard",10,80.8
"43","Stoneforge Mystic",10,80.6
"44","Batterskull",10,80.6
"45","Umezawa's Jitte",10,80.6
"46","Anger",7,80.6
"47","Anje's Ravager",7,80.6
"48","Basking Rootwalla",7,80.6
"49","Blazing Rootwalla",7,80.6
"50","Hollow One",7,80.6
