"","SetCode","NoCopies","Winrate"
"1","MH2",64384,0.732
"2","ZEN",27425,0.732
"3","LEA",26006,0.73
"4","MH1",24602,0.733
"5","ONS",19813,0.731
"6","ELD",11010,0.733
"7","NEO",10589,0.732
"8","WWK",9317,0.731
"9","GPT",8882,0.732
"10","RAV",7903,0.729
"11","WAR",7739,0.725
"12","STX",7616,0.735
"13","DIS",7541,0.732
"14","KLD",7259,0.731
"15","M20",7122,0.731
"16","LRW",7101,0.727
"17","ZNR",6222,0.727
"18","ICE",6063,0.737
"19","SOM",5911,0.723
"20","5DN",5907,0.735
"21","CSP",5800,0.736
"22","FUT",5617,0.732
"23","NPH",5244,0.723
"24","THB",4992,0.728
"25","SNC",4846,0.73
"26","MRD",4824,0.719
"27","ATQ",4700,0.724
"28","IKO",4687,0.729
"29","MID",4561,0.73
"30","EMN",4354,0.732
"31","AVR",4179,0.736
"32","TSP",4136,0.726
"33","AER",3753,0.722
"34","ARB",3596,0.732
"35","M11",2809,0.727
"36","DRK",2793,0.732
"37","DKA",2765,0.731
"38","ALA",2754,0.728
"39","CMD",2749,0.732
"40","ROE",2731,0.719
"41","PLS",2649,0.734
"42","AFR",2502,0.714
"43","M21",2358,0.728
"44","CHK",2284,0.726
"45","RNA",2250,0.726
"46","PC2",2170,0.737
"47","MBS",2165,0.727
"48","KTK",2137,0.717
"49","APC",1937,0.722
"50","DST",1929,0.717
"51","SHM",1886,0.72
"52","RTR",1657,0.725
"53","PLC",1646,0.728
"54","DMU",1631,0.714
"55","AKH",1598,0.737
"56","CON",1573,0.727
"57","GTC",1570,0.718
"58","HOU",1528,0.732
"59","SOK",1527,0.72
"60","OGW",1385,0.72
"61","JOU",1219,0.717
"62","M19",1215,0.725
"63","DTK",1180,0.735
"64","DOM",1176,0.717
"65","SOI",1143,0.727
"66","ISD",1005,0.728
"67","MIR",998,0.735
"68","VOW",994,0.738
"69","ORI",889,0.713
"70","STH",875,0.725
"71","INV",838,0.72
"72","GRN",826,0.73
"73","DGM",737,0.724
"74","MOR",719,0.717
"75","BFZ",713,0.719
"76","XLN",615,0.716
"77","EVE",564,0.734
"78","KHM",422,0.728
"79","M13",346,0.722
"80","FRF",313,0.717
"81","ULG",312,0.735
"82","JUD",297,0.718
"83","M12",287,0.698
"84","BRO",276,0.736
"85","ARN",257,0.7
"86","WTH",256,0.698
"87","M15",233,0.736
"88","M10",204,0.704
"89","THS",193,0.737
"90","TMP",174,0.717
"91","NEM",174,0.708
"92","P02",161,0.709
"93","C14",118,0.723
"94","BOK",95,0.713
"95","TOR",79,0.724
"96","PTK",63,0.743
"97","LEG",60,0.707
"98","ALL",60,0.708
"99","BNG",51,0.711
"100","RIX",32,0.712
"101","VIS",28,0.661
"102","M14",23,0.691
"103","CN2",11,0.732
"104","ODY",8,0.733
"105","SCG",7,0.608
"106","EXO",7,0.647
"107","S99",2,0.714
