"","SetCode","NoCopies","Winrate"
"1","LEA",3019,0.811
"2","STX",2008,0.812
"3","KHM",2003,0.814
"4","MH2",1670,0.806
"5","ZNR",948,0.817
"6","MID",599,0.816
"7","TSP",182,0.769
"8","PLC",84,0.79
"9","FUT",79,0.795
"10","ICE",65,0.818
"11","KTK",33,0.8
"12","USG",32,0.824
"13","DOM",25,0.816
"14","M19",25,0.802
"15","M21",23,0.793
"16","PTK",22,0.817
"17","ZEN",21,0.804
"18","ISD",20,0.826
"19","ODY",16,0.802
"20","NEM",16,0.804
"21","INV",10,0.812
"22","THB",10,0.812
"23","ROE",10,0.821
"24","MOR",10,0.841
"25","M11",9,0.826
"26","SOI",9,0.816
"27","AVR",9,0.833
"28","UDS",9,0.8
"29","LEG",9,0.797
"30","FRF",9,0.818
"31","SCG",9,0.824
"32","XLN",8,0.846
"33","STH",8,0.816
"34","ELD",8,0.811
"35","MBS",7,0.776
"36","ULG",7,0.797
"37","APC",6,0.826
"38","KLD",6,0.815
"39","TMP",6,0.81
"40","WAR",6,0.862
"41","GPT",5,0.808
"42","ONS",5,0.815
"43","CMD",4,0.795
"44","M20",4,0.795
"45","RAV",4,0.8
"46","ATQ",3,0.857
"47","M10",3,0.839
"48","MH1",3,0.844
"49","EMN",3,0.818
"50","JUD",3,0.75
"51","C14",2,0.909
"52","CHK",2,0.85
"53","PC2",2,0.8
"54","C19",2,0.789
"55","THS",2,0.714
"56","MRD",2,0.722
"57","BNG",1,0.818
"58","HML",1,0.818
"59","DIS",1,0.778
