"","CardNames","DeckCount","Winrate95Min"
"1","Forest",91,78.7
"2","Swamp",100,78.4
"3","Plains",94,78.3
"4","Island",82,78.2
"5","Mountain",94,78.2
"6","Fairgrounds Patrol",6,76.7
"7","Mage Duel",10,76.4
"8","Axgard Cavalry",9,76.2
"9","Immersturm Raider",9,76.2
"10","Quandrix Pledgemage",12,76.2
"11","Knighted Myr",4,75.9
"12","Master Skald",6,75.9
"13","Demon Bolt",12,75.9
"14","Break Ties",9,75.8
"15","Codespell Cleric",7,75.6
"16","Story Seeker",8,75.5
"17","Rise of Extus",12,75.5
"18","Goldmaw Champion",7,75.3
"19","Divide by Zero",10,75.3
"20","Bury in Books",10,75.3
"21","Valentin, Dean of the Vein",3,75
"22","Malakir Rebirth",5,75
"23","Specter of the Fens",7,75
"24","Crushing Disappointment",4,74.9
"25","Doomskar Oracle",11,74.8
"26","Raven Wings",10,74.6
"27","Witherbloom Pledgemage",11,74.6
"28","Mistwalker",12,74.5
"29","Reckless Amplimancer",8,74.2
"30","Jarl of the Forsaken",9,74.2
"31","Tormentor's Helm",10,74.2
"32","Scurrid Colony",12,74.2
"33","Lash of Malice",12,74.2
"34","Path to the World Tree",7,74
"35","Serpentine Curve",7,74
"36","Leyline Invocation",10,74
"37","Sarulf's Packmate",11,74
"38","Professor of Zoomancy",11,73.8
"39","Depart the Realm",8,73.7
"40","Frenzied Raider",8,73.7
"41","Spirit of the Aldergard",8,73.7
"42","Piercing Rays",8,73.7
"43","Deepwood Denizen",8,73.7
"44","Icebind Pillar",9,73.7
"45","Witherbloom Campus",11,73.6
"46","Ornithopter of Paradise",11,73.6
"47","Kolvori, God of Kinship",1,73.5
"48","Caprichrome",1,73.5
"49","Zabaz, the Glimmerwasp",1,73.5
"50","Soul Snare",1,73.5
