"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Scapeshift",1,1,11,1,0.715085847081846,1,11,1
"2","Oops All Spells",9,6,73,0.684931506849315,0.565613403407736,0.788704312343184,12.1666666666667,1.00646758857924
"3","Reclaimer Titan",10,8,84,0.726190476190476,0.61799176852375,0.81785617143066,10.5,0.985026978695813
"4","Hammer Time",20,13,163,0.711656441717791,0.635618905477104,0.7798204116847,12.5384615384615,1.03537435959695
"5","Rakdos Midrange",10,9,77,0.649350649350649,0.532153224188651,0.754677503493819,8.55555555555556,0.989720335098974
"6","Electro End",2,2,17,0.764705882352941,0.50100672679542,0.931892259562643,8.5,1.00106951871658
"7","Eldrazi Tron",3,2,23,0.652173913043478,0.427343963036494,0.83623640162505,11.5,0.99604743083004
"8","Obosh Aggro",7,7,59,0.711864406779661,0.579230188695647,0.822351783950181,8.42857142857143,1.01328937641067
"9","Burn",11,9,88,0.693181818181818,0.585802789168104,0.787123451960464,9.77777777777778,1.04869124683366
"10","Sultai Control",13,11,108,0.703703703703704,0.608179343332203,0.787715255177236,9.81818181818182,0.997374118699535
"11","Belcher",9,7,70,0.7,0.578666071957495,0.803773036700536,10,0.978211001274412
"12","Jund Midrange",2,2,16,0.75,0.476229180103872,0.927337961747118,8,1
"13","Izzet Prowess",13,12,110,0.727272727272727,0.634088973633765,0.807829797717568,9.16666666666667,1.00838636542806
"14","Hardened Scales",2,1,16,0.6875,0.413379363548641,0.889830045282883,16,1
"15","Heliod Combo",14,11,112,0.696428571428571,0.602402209150486,0.779760922417438,10.1818181818182,1.01976672179597
"16","Green Tron",4,4,32,0.65625,0.468068963719731,0.814280908283434,8,1.00455580865604
"17","Boros Taxes",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1.02678571428571
"18","Shadow Prowess",19,19,154,0.688311688311688,0.608786277801248,0.760424039905097,8.10526315789474,1.00977598724712
"19","Dredge",8,7,65,0.676923076923077,0.549450432900227,0.787672393060607,9.28571428571429,1.01516880568953
"20","Land Destruction",2,1,16,0.6875,0.413379363548641,0.889830045282883,16,1
"21","Erayo Prison",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"22","Jeskai Control",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,1
"23","Primeval Titan",2,2,17,0.823529411764706,0.565682127155716,0.962014931929374,8.5,1.02030192608017
"24","Izzet Control",2,2,18,0.722222222222222,0.465198034416944,0.903050787474441,9,1
"25","Spirits",4,4,34,0.735294117647059,0.556384631694893,0.871182608416492,8.5,1.00908173562059
"26","Kiki Chord",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"27","WURG Control",16,12,142,0.753521126760563,0.674237959941009,0.82192261375825,11.8333333333333,1.01116235902656
"28","UBRG Control",3,2,24,0.666666666666667,0.446780384340352,0.843697714290865,12,0.96969696969697
"29","Yawgmoth",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
