"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Hammer Time - Shadow Prowess - WURG Control - Heliod Combo - Izzet Prowess,WURG Control - Spirits - Infect,WURG Control - Hammer Time - Izzet Prowess,WURG Control - Hammer Time - Shadow Prowess - Izzet Prowess,WURG Control - Hammer Time - Shadow Prowess - Izzet Prowess
"Tiers 1.5",Sultai Control - Burn - Reclaimer Titan - Rakdos Midrange - Oops All Spells - Belcher - Ad Nauseam - Dredge - Obosh Aggro,Izzet Prowess - Gifts Storm - Bant Control - Reclaimer Titan - Ad Nauseam - Obosh Aggro - Hammer Time - Mono White Taxes - Temur Control - Mill - Sultai Control,Reclaimer Titan - Shadow Prowess - Sultai Control - Heliod Combo - Ad Nauseam - Burn - Obosh Aggro - Belcher - Oops All Spells - Mono White Taxes,Sultai Control - Heliod Combo - Reclaimer Titan - Burn - Ad Nauseam - Belcher - Oops All Spells - Obosh Aggro,Sultai Control - Heliod Combo - Reclaimer Titan - Burn - Ad Nauseam - Belcher - Oops All Spells - Obosh Aggro
"Tiers 2",Amulet Titan - Mono White Taxes - Spirits - Gifts Storm - Bant Control - Green Tron,Belcher - Heliod Combo - Burn - Shadow Prowess - Oops All Spells - Dredge,Spirits - Dredge - Gifts Storm - Bant Control - Rakdos Midrange - Infect - Amulet Titan,Dredge - Rakdos Midrange - Mono White Taxes - Spirits - Amulet Titan - Gifts Storm - Bant Control - Infect,Dredge - Rakdos Midrange - Mono White Taxes - Spirits - Amulet Titan - Gifts Storm - Bant Control - Infect
"Tiers 2.5",Infect - Temur Control - Mill - UBRG Control - Eldrazi Tron,UBRG Control - Amulet Titan - Green Tron - Eldrazi Tron - Rakdos Midrange,Temur Control - Mill - Green Tron - UBRG Control - Eldrazi Tron,Temur Control - Mill - Green Tron - UBRG Control - Eldrazi Tron,Temur Control - Mill - Green Tron - UBRG Control - Eldrazi Tron
