"","SetCode","NoCopies","Winrate"
"1","MH2",10509,0.794
"2","LEA",9536,0.793
"3","MH1",8857,0.796
"4","ZEN",7769,0.794
"5","ONS",6625,0.796
"6","WWK",3945,0.792
"7","ELD",3482,0.795
"8","RAV",3316,0.797
"9","WAR",3142,0.794
"10","ZNR",3104,0.795
"11","DIS",2929,0.795
"12","M20",2705,0.791
"13","LRW",2683,0.79
"14","5DN",2648,0.793
"15","NPH",2636,0.795
"16","THB",2551,0.795
"17","GPT",2405,0.8
"18","SOM",2385,0.793
"19","IKO",2362,0.795
"20","KLD",2321,0.796
"21","FUT",2256,0.794
"22","ROE",1991,0.789
"23","CON",1898,0.79
"24","ATQ",1857,0.799
"25","ICE",1778,0.8
"26","CSP",1735,0.782
"27","AER",1717,0.791
"28","TSP",1663,0.798
"29","MRD",1617,0.796
"30","STX",1579,0.791
"31","OGW",1487,0.797
"32","KTK",1368,0.795
"33","SHM",1326,0.793
"34","RTR",1148,0.787
"35","EMN",1057,0.794
"36","DRK",1032,0.796
"37","ARB",1007,0.807
"38","ISD",991,0.781
"39","M21",918,0.792
"40","RNA",876,0.797
"41","DKA",868,0.79
"42","MBS",850,0.8
"43","AVR",836,0.801
"44","INV",833,0.796
"45","M11",829,0.801
"46","AKH",807,0.797
"47","CHK",806,0.792
"48","DOM",782,0.787
"49","ALA",781,0.804
"50","GTC",760,0.806
"51","DTK",712,0.78
"52","STH",689,0.796
"53","XLN",672,0.796
"54","DST",666,0.8
"55","SOK",648,0.796
"56","HOU",642,0.797
"57","BFZ",617,0.794
"58","PLC",611,0.798
"59","M19",543,0.788
"60","JOU",521,0.793
"61","JUD",506,0.796
"62","GRN",493,0.779
"63","SOI",465,0.791
"64","FRF",447,0.783
"65","CMD",440,0.79
"66","PLS",421,0.789
"67","PC2",420,0.803
"68","M12",404,0.782
"69","APC",395,0.797
"70","MID",395,0.79
"71","M10",362,0.795
"72","AFR",336,0.784
"73","KHM",320,0.783
"74","MOR",277,0.786
"75","DGM",275,0.801
"76","M15",274,0.801
"77","TMP",269,0.787
"78","EVE",245,0.791
"79","NEM",219,0.793
"80","THS",198,0.801
"81","ULG",181,0.78
"82","WTH",157,0.801
"83","M13",156,0.79
"84","ORI",121,0.801
"85","ALL",106,0.809
"86","BNG",101,0.787
"87","MIR",81,0.827
"88","M14",80,0.786
"89","P02",79,0.836
"90","ODY",67,0.778
"91","BOK",63,0.772
"92","LEG",52,0.787
"93","VOW",51,0.758
"94","ARN",41,0.821
"95","C14",23,0.773
"96","TOR",19,0.74
"97","RIX",13,0.792
"98","POR",12,0.792
"99","CN2",11,0.875
"100","PTK",11,0.833
"101","SCG",6,0.75
"102","HML",2,0.8
