"","SetCode","NoCopies","Winrate"
"1","MH2",3262,0.728
"2","LEA",1534,0.722
"3","MH1",1411,0.722
"4","ONS",857,0.719
"5","ELD",704,0.718
"6","WWK",558,0.718
"7","KLD",547,0.731
"8","RAV",492,0.706
"9","FUT",491,0.703
"10","GPT",484,0.727
"11","DIS",467,0.718
"12","LRW",427,0.72
"13","THB",397,0.723
"14","5DN",380,0.731
"15","M20",370,0.724
"16","WAR",368,0.728
"17","ZNR",365,0.712
"18","SOM",349,0.721
"19","NPH",334,0.72
"20","CSP",332,0.734
"21","AER",317,0.716
"22","DKA",268,0.72
"23","ROE",265,0.714
"24","ZEN",258,0.724
"25","AKH",242,0.716
"26","IKO",229,0.724
"27","TSP",226,0.708
"28","M11",226,0.702
"29","STX",217,0.744
"30","ARB",215,0.738
"31","SHM",214,0.708
"32","ISD",204,0.711
"33","CON",204,0.702
"34","EMN",203,0.714
"35","ICE",201,0.706
"36","DRK",198,0.729
"37","MRD",197,0.718
"38","KTK",192,0.703
"39","HOU",180,0.736
"40","ATQ",169,0.746
"41","DST",169,0.722
"42","OGW",164,0.731
"43","SOK",147,0.723
"44","RTR",140,0.713
"45","M21",132,0.728
"46","MBS",131,0.727
"47","AVR",131,0.705
"48","XLN",103,0.688
"49","DOM",99,0.711
"50","ALA",90,0.72
"51","SOI",90,0.688
"52","DTK",85,0.716
"53","JUD",84,0.731
"54","CHK",84,0.701
"55","INV",79,0.697
"56","M19",79,0.718
"57","APC",78,0.714
"58","GRN",77,0.708
"59","PLC",74,0.721
"60","PLS",73,0.732
"61","EVE",68,0.712
"62","RNA",68,0.685
"63","M12",65,0.712
"64","NEM",58,0.718
"65","M10",58,0.7
"66","MIR",56,0.689
"67","BFZ",56,0.692
"68","DGM",54,0.726
"69","THS",49,0.701
"70","STH",47,0.711
"71","M15",46,0.712
"72","GTC",38,0.636
"73","ORI",37,0.739
"74","ALL",35,0.689
"75","JOU",34,0.67
"76","KHM",33,0.694
"77","TMP",32,0.717
"78","WTH",32,0.698
"79","ULG",28,0.717
"80","PTK",25,0.633
"81","CMD",24,0.726
"82","FRF",21,0.685
"83","ARN",18,0.667
"84","P02",16,0.757
"85","LEG",13,0.731
"86","MOR",13,0.694
"87","CN2",11,0.649
"88","ODY",10,0.667
"89","BNG",7,0.682
"90","BOK",7,0.765
"91","RIX",6,0.733
"92","M13",4,0.75
"93","VIS",1,0.714
