"","SetCode","NoCopies","Winrate"
"1","LEA",2597,0.684
"2","MH2",2127,0.685
"3","ICE",1677,0.685
"4","TMP",1232,0.69
"5","ZEN",1075,0.686
"6","ONS",1062,0.688
"7","MH1",971,0.679
"8","LRW",869,0.688
"9","ALL",742,0.687
"10","USG",623,0.683
"11","MRD",467,0.69
"12","ELD",441,0.685
"13","FUT",440,0.688
"14","CSP",431,0.684
"15","NEO",411,0.696
"16","NPH",409,0.685
"17","NEM",392,0.693
"18","LEB",339,0.678
"19","M20",327,0.679
"20","STX",316,0.683
"21","PLC",297,0.689
"22","ISD",291,0.687
"23","GPT",289,0.686
"24","ULG",275,0.704
"25","MBS",269,0.663
"26","WWK",266,0.687
"27","AVR",243,0.683
"28","LEG",238,0.693
"29","THB",231,0.7
"30","WAR",229,0.699
"31","EXO",204,0.699
"32","ZNR",202,0.677
"33","MMQ",197,0.685
"34","GTC",184,0.683
"35","DKA",176,0.677
"36","STH",167,0.712
"37","SOM",166,0.689
"38","DST",159,0.704
"39","SHM",154,0.68
"40","SCG",150,0.662
"41","RAV",139,0.702
"42","DRK",139,0.703
"43","M11",135,0.668
"44","CLB",131,0.69
"45","WTH",129,0.693
"46","CON",120,0.681
"47","TOR",117,0.704
"48","TSP",109,0.672
"49","ALA",107,0.703
"50","ODY",103,0.658
"51","JUD",100,0.682
"52","IKO",99,0.693
"53","5DN",98,0.671
"54","MIR",95,0.68
"55","SNC",94,0.699
"56","RTR",94,0.698
"57","VIS",87,0.684
"58","CN2",86,0.695
"59","JMP",85,0.677
"60","CMD",83,0.683
"61","DMU",82,0.683
"62","SOK",79,0.713
"63","AFR",79,0.688
"64","C15",73,0.691
"65","ROE",70,0.641
"66","CMR",65,0.689
"67","AFC",62,0.683
"68","M15",59,0.709
"69","GRN",59,0.677
"70","HOU",57,0.664
"71","AER",57,0.682
"72","OGW",54,0.657
"73","PC2",53,0.694
"74","ATQ",52,0.667
"75","MID",48,0.69
"76","VOW",48,0.665
"77","MOR",43,0.663
"78","CHK",43,0.67
"79","BNG",39,0.699
"80","C19",34,0.653
"81","EMN",32,0.649
"82","FRF",31,0.683
"83","M19",31,0.674
"84","DIS",30,0.706
"85","EVE",30,0.696
"86","C21",25,0.59
"87","BOK",24,0.708
"88","AKH",21,0.702
"89","FEM",21,0.675
"90","ORI",20,0.663
"91","KTK",20,0.64
"92","M13",20,0.607
"93","NEC",19,0.719
"94","XLN",19,0.655
"95","C18",19,0.611
"96","JOU",19,0.651
"97","APC",18,0.644
"98","C14",18,0.688
"99","M10",17,0.632
"100","POR",13,0.794
"101","M14",13,0.676
"102","DOM",13,0.674
"103","KHM",13,0.694
"104","PLS",11,0.705
"105","SOI",11,0.696
"106","ARB",11,0.667
"107","C13",10,0.667
"108","KLD",10,0.672
"109","BBD",9,0.633
"110","BFZ",8,0.645
"111","C17",6,0.658
"112","DMC",6,0.583
"113","RNA",5,0.5
"114","DTK",4,0.571
"115","ARN",4,0.667
"116","RIX",4,0.5
"117","INV",3,0.75
"118","C20",3,0.667
"119","P02",3,0.5
"120","PTK",2,1
"121","NCC",1,0.75
"122","LGN",1,0.5
