"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Izzet Delver - Doomsday,Temur Counter Top - 8-cast,Temur Counter Top - Doomsday - Izzet Delver - 8-cast,Izzet Delver - Temur Counter Top - Doomsday - 8-cast,Izzet Delver - Temur Counter Top - Doomsday - 8-cast
"Tiers 1.5",Elves - 4c   Control - Mono Red Prison - 8-cast - Selesnya   Depths - Izzet Counter Top - Lands - Temur Counter Top - Mono Red Painter - Sneak  &  Show - Yorion   Zenith,Dimir Death 's   Shadow - Mono Red Painter - Doomsday - WUBR Reanimator - Selesnya   Depths - Elves - Temur Delver - Izzet Delver,Elves - Selesnya   Depths - Mono Red Painter - Mono Red Prison - Lands - Dimir Death 's   Shadow - WUBR Reanimator - Izzet Counter Top - 4c   Control - Sneak  &  Show - Temur Delver,Elves - Selesnya   Depths - Mono Red Painter - Mono Red Prison - Lands - Dimir Death 's   Shadow - 4c   Control - Izzet Counter Top - WUBR Reanimator,Elves - Selesnya   Depths - Mono Red Painter - Mono Red Prison - Lands - Dimir Death 's   Shadow - 4c   Control - Izzet Counter Top - WUBR Reanimator
"Tiers 2",WUBR Reanimator - Temur Delver - Death  &  Taxes - Dimir Death 's   Shadow - Mardu Reanimator - WURG Cascade - Mono White Hammer,Death  &  Taxes - Mono   Black   Helm   Combo - Gruul Prison - Lands - Sneak  &  Show - Mono Red Prison - Izzet Counter Top - Grixis Delver - Jeskai Narset   Control - Mono White Hammer - 4c   Control,Death  &  Taxes - Yorion   Zenith - Mono White Hammer - Mardu Reanimator - Mono   Black   Helm   Combo - WURG Cascade,Sneak  &  Show - Temur Delver - Death  &  Taxes - Yorion   Zenith - Mono White Hammer - Mono   Black   Helm   Combo - Mardu Reanimator - Gruul Prison,Sneak  &  Show - Temur Delver - Death  &  Taxes - Yorion   Zenith - Mono White Hammer - Mono   Black   Helm   Combo - Mardu Reanimator - Gruul Prison
"Tiers 2.5",Mono   Black   Helm   Combo - Jeskai Mentor - Gruul Prison - Grixis Delver - Jeskai Narset   Control,Mardu Reanimator - Yorion   Zenith - WURG Cascade - Jeskai Mentor,Gruul Prison - Grixis Delver - Jeskai Narset   Control - Jeskai Mentor,WURG Cascade - Grixis Delver - Jeskai Narset   Control - Jeskai Mentor,WURG Cascade - Grixis Delver - Jeskai Narset   Control - Jeskai Mentor
