"","SetName","Winrate","Presence"
"1","MH1",NA,0
"2","SOI",NA,0
"3","RNA",NA,0
"4","WAR",NA,0
"5","BFZ",NA,0
"6","ROE",NA,0
"7","NPH",NA,0
"8","ZNR",NA,0
"9","RAV",NA,0
"10","ZEN",NA,0
"11","DGM",NA,0
"12","M12",NA,0
"13","MRD",NA,0
"14","SOK",NA,0
"15","TSP",NA,0
"16","KLD",NA,0
"17","ONS",NA,0
"18","THS",NA,0
"19","KHM",NA,0
"20","SOM",NA,0
"21","AKH",NA,0
"22","EVE",NA,0
"23","MIR",NA,0
"24","M21",NA,0
"25","IKO",NA,0
"26","FRF",NA,0
"27","ELD",NA,0
"28","NEM",NA,0
"29","DST",NA,0
"30","WWK",NA,0
"31","ALA",NA,0
"32","DOM",NA,0
"33","FUT",NA,0
"34","INV",NA,0
"35","AER",NA,0
"36","LEA",NA,0
"37","THB",NA,0
"38","XLN",NA,0
"39","PLC",NA,0
"40","DIS",NA,0
"41","OGW",NA,0
"42","DTK",NA,0
"43","DRK",NA,0
"44","CON",NA,0
"45","M13",NA,0
"46","HOU",NA,0
"47","LEG",NA,0
"48","LRW",NA,0
"49","ARB",NA,0
"50","KTK",NA,0
"51","CSP",NA,0
"52","GPT",NA,0
"53","ISD",NA,0
"54","PLS",NA,0
"55","ICE",NA,0
"56","ATQ",NA,0
"57","ALL",NA,0
"58","RTR",NA,0
"59","M11",NA,0
"60","STH",NA,0
"61","MBS",NA,0
"62","MOR",NA,0
"63","DKA",NA,0
"64","AVR",NA,0
"65","ORI",NA,0
"66","EMN",NA,0
"67","M15",NA,0
"68","CHK",NA,0
"69","5DN",NA,0
"70","M10",NA,0
"71","M14",NA,0
"72","JUD",NA,0
"73","GRN",NA,0
"74","SHM",NA,0
"75","GTC",NA,0
"76","JOU",NA,0
"77","CMD",NA,0
"78","BNG",NA,0
"79","M20",NA,0
"80","WTH",NA,0
"81","ULG",NA,0
"82","ODY",NA,0
"83","P02",NA,0
"84","APC",NA,0
"85","M19",NA,0
"86","RIX",NA,0
"87","SCG",NA,0
"88","BOK",NA,0
"89","ARN",NA,0
"90","TMP",NA,0
