"","CardNames","DeckCount","WinrateAverage"
"1","Lightning Bolt",235,52.4
"2","Forest",212,54.8
"3","Mountain",210,52.3
"4","Wooded Foothills",206,52.4
"5","Plains",195,51.6
"6","Bloodstained Mire",181,52.5
"7","Windswept Heath",146,51.5
"8","Monastery Swiftspear",144,52.5
"9","Path to Exile",129,53.8
"10","Misty Rainforest",128,52.5
"11","Blood Crypt",127,53.4
"12","Walking Ballista",122,52.5
"13","Scalding Tarn",120,45.8
"14","Island",116,50.5
"15","Stomping Ground",115,52.6
"16","Fiery Islet",113,48.8
"17","Temple Garden",109,51.6
"18","Hallowed Fountain",108,50
"19","Swamp",108,56.6
"20","Steam Vents",107,48
"21","Skyclave Apparition",106,52.3
"22","Flooded Strand",105,51.8
"23","Arid Mesa",104,49.7
"24","Horizon Canopy",103,50.2
"25","Fatal Push",97,57.2
"26","Mishra's Bauble",96,53.1
"27","Dismember",94,53.3
"28","Thoughtseize",93,53.6
"29","Cavern of Souls",93,48
"30","Breeding Pool",89,50.7
"31","Verdant Catacombs",88,59.1
"32","Teferi, Time Raveler",87,50.9
"33","Field of Ruin",86,56.5
"34","Force of Negation",85,50.9
"35","Sacred Foundry",85,48
"36","Opt",84,48
"37","Polluted Delta",84,54.7
"38","Blast Zone",84,55.4
"39","Ghost Quarter",84,54.4
"40","Inquisition of Kozilek",83,56.4
"41","Stoneforge Mystic",80,54.2
"42","Sunbaked Canyon",76,48.7
"43","Mana Leak",75,51.6
"44","Snapcaster Mage",73,49
"45","Snow-Covered Plains",73,47.9
"46","Noble Hierarch",73,50.1
"47","Karn, the Great Creator",73,53.1
"48","Expedition Map",72,53.3
"49","Urza's Mine",72,53.3
"50","Urza's Power Plant",72,53.3
