"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Heliod Combo - Izzet Prowess - Burn - Shadow Prowess - Eldrazi Tron - Green Tron - Azorius Control - Dredge,Mill - Gruul Midrange - Esper Control - Shadow Prowess - Slivers - Mardu Midrange,Mill - Shadow Prowess - Gruul Midrange - Green Tron - Mono White Taxes,Shadow Prowess - Heliod Combo - Green Tron - Mill - Mono White Taxes,Shadow Prowess - Heliod Combo - Green Tron - Mill - Mono White Taxes
"Tiers 1.5",Hammer Time - Stoneblade - Amulet Titan - Jund Midrange - Mono White Taxes - Humans,Mono White Taxes - Green Tron - Titan Shift - Infect - Niv To Light - Living End - Amulet Titan - BTL Scapeshift - Azorius Control - Heliod Combo - Goblins,Esper Control - Heliod Combo - Amulet Titan - Azorius Control - Slivers - Titan Shift - Stoneblade - Mardu Midrange - Infect - Izzet Prowess - Jund Midrange - Burn,Azorius Control - Izzet Prowess - Gruul Midrange - Burn - Amulet Titan - Eldrazi Tron - Stoneblade - Dredge - Jund Midrange - Esper Control - Slivers - Hammer Time,Azorius Control - Izzet Prowess - Gruul Midrange - Burn - Amulet Titan - Eldrazi Tron - Stoneblade - Dredge - Jund Midrange - Esper Control - Slivers - Hammer Time
"Tiers 2",Obosh Aggro - Bogles - WURG Control - Grixis Shadow - Mill - Spirits - BTL Scapeshift - Titan Shift - Infect - Gruul Midrange - Slivers - Yawgmoth - Esper Control - Living End,Gifts Storm - Stoneblade - Jund Midrange - Yawgmoth - Oops All Spells - Izzet Prowess - Obosh Aggro - Dredge - Burn - Spirits - Eldrazi Tron - WURG Control - Bogles,Eldrazi Tron - Dredge - BTL Scapeshift - Niv To Light - Living End - Hammer Time - Obosh Aggro - Gifts Storm - WURG Control - Goblins - Spirits - Yawgmoth - Bogles,Titan Shift - Infect - Mardu Midrange - BTL Scapeshift - Niv To Light - Obosh Aggro - WURG Control - Living End - Bogles - Spirits - Gifts Storm - Goblins - Yawgmoth,Titan Shift - Infect - Mardu Midrange - BTL Scapeshift - Niv To Light - Obosh Aggro - WURG Control - Living End - Bogles - Spirits - Gifts Storm - Goblins - Yawgmoth
"Tiers 2.5",Niv To Light - Gifts Storm - Mardu Midrange - Goblins - Oops All Spells - Blue Scapeshift,Hammer Time - Grixis Shadow - Humans - Blue Scapeshift,Oops All Spells - Grixis Shadow - Humans - Blue Scapeshift,Humans - Grixis Shadow - Oops All Spells - Blue Scapeshift,Humans - Grixis Shadow - Oops All Spells - Blue Scapeshift
