"","CardNames","DeckCount","Winrate95Min"
"1","Unravel the Aether",21,68.8
"2","Kaya, Orzhov Usurper",2,64
"3","Anguished Unmaking",2,64
"4","Oath of Kaya",1,61.5
"5","Deglamer",11,61.4
"6","Extirpate",9,60.4
"7","Alpine Moon",28,59.6
"8","Phyrexian Revoker",28,59.4
"9","Crypt Incursion",7,59
"10","Molten Rain",9,58.4
"11","Profane Memento",7,58.3
"12","Emrakul, the Aeons Torn",4,57.8
"13","Cindervines",4,56.5
"14","Kozilek, Butcher of Truth",7,55.7
"15","Nihil Spellbomb",58,55.7
"16","Radiant Fountain",12,55
"17","Weather the Storm",26,55
"18","Containment Priest",3,54.9
"19","Batterskull",6,54.8
"20","Cloudform",2,54.6
"21","Trinisphere",47,54.5
"22","Arboreal Grazer",3,54.4
"23","Dragon's Claw",31,53.1
"24","Narset, Parter of Veils",13,52.9
"25","Bloodchief's Thirst",13,52.5
"26","Winds of Abandon",16,52.5
"27","Lurrus of the Dream-Den",91,52.4
"28","Yorion, Sky Nomad",16,52.2
"29","Archon of Emeria",2,51.9
"30","Baneslayer Angel",1,51.8
"31","Flusterstorm",4,51.6
"32","Invisible Stalker",4,51.6
"33","Spell Queller",13,51.6
"34","Choke",20,51.5
"35","Obstinate Baloth",35,51.5
"36","Dismember",74,50.9
"37","Kolaghan's Command",48,50.8
"38","Veil of Summer",181,50.8
"39","Terminate",17,50.7
"40","Mystic Repeal",13,50.4
"41","Mystical Dispute",115,50.4
"42","Blightbeetle",6,50.1
"43","Bontu's Last Reckoning",8,50.1
"44","Force of Vigor",48,50.1
"45","Pact of Negation",18,50
"46","Ensnaring Bridge",74,50
"47","Sword of Fire and Ice",3,49.8
"48","Kroxa, Titan of Death's Hunger",23,49.7
"49","Engineered Explosives",81,49.7
"50","Kozilek's Return",97,49.7
