"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Boros Monarch - Affinity - Dimir Faeries,Izzet Faeries - Dimir Control - Tireless   Tribe,Izzet Faeries - Affinity,Affinity - Izzet Faeries - Dimir Faeries,Affinity - Izzet Faeries - Dimir Faeries
"Tiers 1.5",Black   Burn - Burn - Rakdos Goblins - Bogles,Jeskai Ephemerate - Boros Bully / Flashback - Tron,Dimir Faeries - Boros Monarch - Black   Burn - Tron - Burn - Dimir Control - Azorius Familiars,Boros Monarch - Black   Burn - Dimir Control,Boros Monarch - Black   Burn - Dimir Control
"Tiers 2",Azorius Familiars - Tron - Boros Bully / Flashback - Cycle   Storm - Jeskai Ephemerate - Izzet Faeries,Azorius Familiars - Affinity - Black   Burn - Dimir Faeries - Mardu Monarch - Burn - Cycle   Storm - Bogles - Rakdos Goblins,Boros Bully / Flashback - Jeskai Ephemerate - Rakdos Goblins - Bogles - Tireless   Tribe,Burn - Tron - Azorius Familiars - Boros Bully / Flashback - Tireless   Tribe - Jeskai Ephemerate - Rakdos Goblins - Bogles,Burn - Tron - Azorius Familiars - Boros Bully / Flashback - Tireless   Tribe - Jeskai Ephemerate - Rakdos Goblins - Bogles
"Tiers 2.5",Dimir Control - Mardu Monarch - Tireless   Tribe,Boros Monarch,Cycle   Storm - Mardu Monarch,Cycle   Storm - Mardu Monarch,Cycle   Storm - Mardu Monarch
