"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Phoenix - Rakdos Midrange - Azorius Control - Devotion Walkers,Bant Stompy - Conflict(Abzan Grease Fang,Abzan Vehicles) - Mono White Humans,Rakdos Sacrifice - Mono White Humans - Azorius Control,Phoenix - Rakdos Midrange - Azorius Control - Rakdos Sacrifice,Phoenix - Rakdos Midrange - Azorius Control - Rakdos Sacrifice
"Tiers 1.5",Boros Prowess - Rakdos Sacrifice - Mono Blue Spirits - Simic Lotus Field - Mono White Humans,Rakdos Sacrifice - Simic Lotus Field - Jund Sacrifice - Izzet Control - Azorius Control - Boros Prowess - Mono Red Burn,Phoenix - Rakdos Midrange - Boros Prowess - Simic Lotus Field - Devotion Walkers - Conflict(Abzan Grease Fang,Abzan Vehicles) - Mono Blue Spirits,Mono White Humans - Boros Prowess - Devotion Walkers - Simic Lotus Field - Conflict(Abzan Grease Fang,Abzan Vehicles) - Mono Blue Spirits - Bant Stompy,Mono White Humans - Boros Prowess - Devotion Walkers - Simic Lotus Field - Conflict(Abzan Grease Fang,Abzan Vehicles) - Mono Blue Spirits - Bant Stompy
"Tiers 2",Mono Red Burn - Niv To Light - Bant Spirits - Conflict(Abzan Grease Fang,Abzan Vehicles) - Gruul Stompy - Jund Sacrifice,Mono Blue Spirits - Selesnya Auras - Phoenix - Rakdos Midrange - Devotion Walkers - Gruul Stompy - Izzet Gearhulk Opus - Bant Spirits,Mono Red Burn - Bant Stompy - Jund Sacrifice - Bant Spirits - Gruul Stompy - Niv To Light,Mono Red Burn - Jund Sacrifice - Bant Spirits - Gruul Stompy - Izzet Control,Mono Red Burn - Jund Sacrifice - Bant Spirits - Gruul Stompy - Izzet Control
"Tiers 2.5",Izzet Gearhulk Opus - Izzet Control - Bant Stompy - Selesnya Auras - Dimir Control,Niv To Light - Dimir Control,Izzet Control - Selesnya Auras - Izzet Gearhulk Opus - Dimir Control,Selesnya Auras - Izzet Gearhulk Opus - Niv To Light - Dimir Control,Selesnya Auras - Izzet Gearhulk Opus - Niv To Light - Dimir Control
