"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Unknown - Izzet Delver - Elves - Death  &  Taxes - Doomsday - Mono Red Prison - Sneak  &  Show - WURG Control - Slow   Depths,Boros Painter - Tin   Fins   - WUBR Reanimator - Selesnya Depths - Izzet Tempo - Conflict(UW   Control,Esper Vial) - Birgi   Storm - Conflict(Jeskai Mentor,Jeskai Standstill),Izzet Delver - Unknown - Conflict(Jeskai Mentor,Jeskai Standstill) - Death  &  Taxes - WURG Control - Doomsday - Izzet Tempo,Unknown - Izzet Delver - Death  &  Taxes - Elves - Doomsday - WURG Control - Sneak  &  Show - Mono Red Prison - Slow   Depths,Unknown - Izzet Delver - Death  &  Taxes - Elves - Doomsday - WURG Control - Sneak  &  Show - Mono Red Prison - Slow   Depths
"Tiers 1.5",Bant Control - Artifacts   Blue - UW   Control - TES - Conflict(Jeskai Mentor,Jeskai Standstill) - Madness - Oops !  All   Spells - Karn   Post - Gruul Lands - Jeskai Mentor - Mono Green Post - Conflict(Slow   Depths,Gruul Lands) - Simic Omnitell - 4 C   Control - Maverick - Izzet Tempo,Yorion   Zenith - Jeskai Mentor - UBRG Cascade - Izzet Delver - Simic Omnitell - Goblins - 5 Color Cascade - 5 Color Control - WURG Control - Bant Control - 4 C   Control - Dimir Ninjas - Death  &  Taxes - Doomsday - Slow   Depths - Temur Tempo,Jeskai Mentor - Bant Control - Sneak  &  Show - Slow   Depths - Tin   Fins   - Yorion   Zenith - Mono Red Prison - Simic Omnitell - Selesnya Depths - Elves - TES - WUBR Reanimator - Artifacts   Blue - Boros Painter - 4 C   Control - Madness - UW   Control - Gruul Lands - Oops !  All   Spells - Mono Green Post - Goblins - 5 Color Cascade - Karn   Post,Bant Control - Conflict(Jeskai Mentor,Jeskai Standstill) - Artifacts   Blue - Jeskai Mentor - TES - UW   Control - Madness - Izzet Tempo - Oops !  All   Spells - Gruul Lands - Simic Omnitell - Yorion   Zenith - 4 C   Control - Karn   Post - Mono Green Post - Conflict(Slow   Depths,Gruul Lands),Bant Control - Conflict(Jeskai Mentor,Jeskai Standstill) - Artifacts   Blue - Jeskai Mentor - TES - UW   Control - Madness - Izzet Tempo - Oops !  All   Spells - Gruul Lands - Simic Omnitell - Yorion   Zenith - 4 C   Control - Karn   Post - Mono Green Post - Conflict(Slow   Depths,Gruul Lands)
"Tiers 2",Yorion   Zenith - Karn   Echoes - Curse   Stompy - Mardu Reanimator - 5 Color Cascade - Goblins - Temur Cascade - 5 Color Control - Selesnya Depths - Turbo   Depths - Dimir Ninjas - Tin   Fins   - Azorius Omnitell - WUBR Reanimator - UBRG Cascade - Jeskai Tempo - High   Tide - Grixis Tempo - Boros Painter,Sneak  &  Show - TES - Mardu Reanimator - Unknown - Karn   Echoes - Azorius Omnitell - Gruul Lands - Artifacts   Blue - Madness - Conflict(Turbo   Depths,Rainbow   Depths) - UW   Control - Mono Red Prison - Mono Green Post - Temur Cascade - Mono Red Painter - Oops !  All   Spells - Jeskai Tempo - Maverick - Elves - Karn   Post - Curse   Stompy - High   Tide,Mardu Reanimator - Karn   Echoes - Conflict(Slow   Depths,Gruul Lands) - Maverick - 5 Color Control - UBRG Cascade - Dimir Ninjas - Birgi   Storm - Conflict(UW   Control,Esper Vial) - Curse   Stompy - Temur Cascade - Azorius Omnitell,Tin   Fins   - Selesnya Depths - WUBR Reanimator - Maverick - Boros Painter - 5 Color Cascade - Goblins - Karn   Echoes - Mardu Reanimator - 5 Color Control - Curse   Stompy - UBRG Cascade - Dimir Ninjas - Temur Cascade - Birgi   Storm - Conflict(UW   Control,Esper Vial) - Azorius Omnitell - Turbo   Depths,Tin   Fins   - Selesnya Depths - WUBR Reanimator - Maverick - Boros Painter - 5 Color Cascade - Goblins - Karn   Echoes - Mardu Reanimator - 5 Color Control - Curse   Stompy - UBRG Cascade - Dimir Ninjas - Temur Cascade - Birgi   Storm - Conflict(UW   Control,Esper Vial) - Azorius Omnitell - Turbo   Depths
"Tiers 2.5",Burn - Temur Tempo - Birgi   Storm - Mono Red Painter - Conflict(UW   Control,Esper Vial) - Bant Zoo - Conflict(Turbo   Depths,Rainbow   Depths) - Naya Lands,Conflict(Slow   Depths,Gruul Lands) - Bant Zoo - Turbo   Depths - Grixis Tempo - Naya Lands - Burn,Temur Tempo - Turbo   Depths - Jeskai Tempo - High   Tide - Mono Red Painter - Conflict(Turbo   Depths,Rainbow   Depths) - Grixis Tempo - Bant Zoo - Burn - Naya Lands,Temur Tempo - Jeskai Tempo - High   Tide - Mono Red Painter - Grixis Tempo - Conflict(Turbo   Depths,Rainbow   Depths) - Bant Zoo - Burn - Naya Lands,Temur Tempo - Jeskai Tempo - High   Tide - Mono Red Painter - Grixis Tempo - Conflict(Turbo   Depths,Rainbow   Depths) - Bant Zoo - Burn - Naya Lands
