"","presence","winrate","low_winrate","comb_presence_winrate","meta_score"
"Tiers 1",Heliod Combo,Dimir Control - UBRG Shadow - Izzet Prowess,Heliod Combo - Boros Prowess,Heliod Combo - Boros Prowess,Heliod Combo - Boros Prowess
"Tiers 1.5",Boros Prowess - Grinding Breach - Dredge - Green Tron,Dredge - Boros Prowess - Heliod Combo,Dredge - Grinding Breach - Dimir Control - UBRG Shadow - Izzet Prowess,Dredge - Grinding Breach - Dimir Control - UBRG Shadow - Izzet Prowess,Dredge - Grinding Breach - Dimir Control - UBRG Shadow - Izzet Prowess
"Tiers 2",Dimir Control - UBRG Shadow - Izzet Prowess - Eldrazi Tron - Grixis Control - Izzet Control - Amulet Titan - Polymorph - BTL Scapeshift,Grinding Breach - Green Tron - Eldrazi Tron - Grixis Control - Izzet Control - Amulet Titan - Polymorph - BTL Scapeshift,Green Tron - Eldrazi Tron - Grixis Control - Izzet Control - Amulet Titan - Polymorph - BTL Scapeshift,Green Tron - Eldrazi Tron - Grixis Control - Izzet Control - Amulet Titan - Polymorph - BTL Scapeshift,Green Tron - Eldrazi Tron - Grixis Control - Izzet Control - Amulet Titan - Polymorph - BTL Scapeshift
"Tiers 2.5",,,,,
