"","SetCode","NoCopies","Winrate"
"1","LEA",2829,0.633
"2","MRD",1207,0.628
"3","ICE",985,0.633
"4","SOM",809,0.631
"5","CLB",749,0.624
"6","VOW",695,0.636
"7","NEO",677,0.637
"8","MH2",600,0.627
"9","ZEN",438,0.628
"10","DMU",437,0.62
"11","AFR",433,0.636
"12","TOR",409,0.63
"13","IKO",371,0.626
"14","JUD",360,0.641
"15","BRO",351,0.634
"16","ALL",332,0.646
"17","MBS",276,0.635
"18","KTK",276,0.641
"19","ALA",267,0.627
"20","MH1",264,0.642
"21","VIS",245,0.625
"22","RTR",236,0.623
"23","TSP",234,0.63
"24","AER",229,0.634
"25","AKH",223,0.612
"26","MMQ",222,0.619
"27","LEG",218,0.636
"28","INV",186,0.626
"29","DKA",184,0.624
"30","ATQ",184,0.641
"31","M11",183,0.656
"32","ROE",181,0.62
"33","KHM",179,0.643
"34","DIS",176,0.635
"35","SHM",170,0.63
"36","FRF",169,0.624
"37","SNC",167,0.647
"38","AVR",158,0.621
"39","SOI",135,0.655
"40","LRW",134,0.655
"41","WWK",132,0.636
"42","EVE",132,0.629
"43","DOM",128,0.639
"44","M12",121,0.632
"45","C16",119,0.638
"46","ULG",119,0.637
"47","GPT",112,0.631
"48","XLN",95,0.63
"49","APC",85,0.623
"50","MID",82,0.61
"51","ZNR",63,0.617
"52","RNA",58,0.595
"53","ODY",54,0.639
"54","TMP",54,0.648
"55","M13",52,0.642
"56","DGM",52,0.589
"57","M10",49,0.62
"58","ONS",49,0.644
"59","RAV",48,0.639
"60","M19",47,0.673
"61","GTC",45,0.665
"62","NPH",44,0.608
"63","USG",43,0.627
"64","CSP",37,0.639
"65","ISD",32,0.613
"66","OGW",31,0.629
"67","BOK",31,0.652
"68","THB",28,0.614
"69","SCG",25,0.594
"70","ELD",22,0.677
"71","NEM",21,0.632
"72","JMP",20,0.661
"73","HOU",18,0.707
"74","CHK",18,0.6
"75","STX",16,0.738
"76","M21",16,0.654
"77","FUT",16,0.583
"78","PLC",15,0.667
"79","PLS",14,0.703
"80","ARB",14,0.567
"81","ARN",12,0.654
"82","CMR",10,0.65
"83","WAR",9,0.642
"84","5DN",9,0.611
"85","LGN",8,0.567
"86","ORI",8,0.583
"87","JOU",8,0.583
"88","BFZ",7,0.652
"89","DST",7,0.533
"90","EMN",7,0.667
"91","M15",6,0.5
"92","SOK",5,0.606
"93","THS",5,0.667
"94","P02",4,0.889
"95","BNG",4,0.5
"96","KLD",1,0.667
"97","M14",1,0.5
